Medicine,Symptoms Treated,Dosages,Notes,Amazon_Link,1mg_Link,Apollo_Link,Buying_Link
Dextromethorphan,Common Cold (Dry Cough),10-20 mg every 4 hours,Avoid in chronic cough; hydrate,https://www.amazon.in/s?k=Dextromethorphan,https://www.1mg.com/search/all?name=Dextromethorphan,https://www.apollopharmacy.in/search-result?searchText=Dextromethorphan,https://www.1mg.com/search/all?name=Dextromethorphan
Guaifenesin,Common Cold (Wet Cough),200-400 mg every 4 hours,Max 2400 mg/day; expectorant; drink fluids,https://www.amazon.in/s?k=Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin,https://www.apollopharmacy.in/search-result?searchText=Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin
Oxymetazoline,Runny Nose|Nasal Congestion,2-3 sprays per nostril every 12 hours|2-3 sprays per nostril every 12 hours,Max 3 days; decongestant|Max 3 days; avoid overuse,https://www.amazon.in/s?k=Oxymetazoline,https://www.1mg.com/search/all?name=Oxymetazoline,https://www.apollopharmacy.in/search-result?searchText=Oxymetazoline,https://www.1mg.com/search/all?name=Oxymetazoline
Chlorpheniramine,Common Cold (Sneezing)|Runny Nose (Allergic),4 mg every 4-6 hours|4 mg every 4-6 hours,Max 24 mg/day; may cause drowsiness|Max 24 mg/day; antihistamine,https://www.amazon.in/s?k=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine,https://www.apollopharmacy.in/search-result?searchText=Chlorpheniramine,https://www.1mg.com/search/all?name=Chlorpheniramine
Phenylephrine,Runny Nose|Nasal Congestion,10 mg every 4 hours|10 mg every 4 hours,Max 60 mg/day; decongestant|Max 60 mg/day; avoid in hypertension,https://www.amazon.in/s?k=Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine,https://www.apollopharmacy.in/search-result?searchText=Phenylephrine,https://www.1mg.com/search/all?name=Phenylephrine
Zinc Acetate,Common Cold (Duration),10-15 mg every 2-3 hours,Max 100 mg/day; start within 24 hours of symptoms,https://www.amazon.in/s?k=Zinc+Acetate,https://www.1mg.com/search/all?name=Zinc%20Acetate,https://www.apollopharmacy.in/search-result?searchText=Zinc%20Acetate,https://www.1mg.com/search/all?name=Zinc+Acetate
Saline Spray,Runny Nose|Nasal Congestion,2-3 sprays per nostril as needed|2-3 sprays per nostril as needed,Safe for all ages; hydrates|Safe; non-medicated,https://www.amazon.in/s?k=Saline+Spray,https://www.1mg.com/search/all?name=Saline%20Spray,https://www.apollopharmacy.in/search-result?searchText=Saline%20Spray,https://www.1mg.com/search/all?name=Saline+Spray
Ibuprofen,Common Cold (Body Ache)|Fever,200-400 mg every 6-8 hours|200-400 mg every 6-8 hours,Max 3200 mg/day; take with food|Max 3200 mg/day; reduces inflammation,https://www.amazon.in/s?k=Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,https://www.apollopharmacy.in/search-result?searchText=Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen
Cetirizine,Runny Nose (Allergic)|Allergies,10 mg once daily|10 mg once daily,May cause drowsiness|Antihistamine for allergies,https://www.amazon.in/s?k=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine,https://www.apollopharmacy.in/search-result?searchText=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine
Azelastine,Runny Nose (Allergic)|Nasal Congestion,1-2 sprays per nostril twice daily|1-2 sprays per nostril twice daily,Max 4 sprays/day; antihistamine|Max 4 sprays/day; nasal spray,https://www.amazon.in/s?k=Azelastine,https://www.1mg.com/search/all?name=Azelastine,https://www.apollopharmacy.in/search-result?searchText=Azelastine,https://www.1mg.com/search/all?name=Azelastine
Benadryl (Diphenhydramine),Common Cold (Sneezing)|Insomnia,25-50 mg every 4-6 hours|25-50 mg at bedtime,Max 300 mg/day; drowsy|May cause next-day drowsiness,https://www.amazon.in/s?k=Benadryl+(Diphenhydramine),https://www.1mg.com/search/all?name=Benadryl%20(Diphenhydramine),https://www.apollopharmacy.in/search-result?searchText=Benadryl%20(Diphenhydramine),https://www.1mg.com/search/all?name=Benadryl+(Diphenhydramine)
Naproxen,Common Cold (Body Ache)|Fever,250-500 mg every 12 hours|250-500 mg every 12 hours,Max 1500 mg/day; take with food|Max 1500 mg/day; anti-inflammatory,https://www.amazon.in/s?k=Naproxen,https://www.1mg.com/search/all?name=Naproxen,https://www.apollopharmacy.in/search-result?searchText=Naproxen,https://www.1mg.com/search/all?name=Naproxen
Ambroxol,Common Cold (Wet Cough),30 mg three times daily,Max 90 mg/day; expectorant,https://www.amazon.in/s?k=Ambroxol,https://www.1mg.com/search/all?name=Ambroxol,https://www.apollopharmacy.in/search-result?searchText=Ambroxol,https://www.1mg.com/search/all?name=Ambroxol
Meclizine,Vertigo|Nausea,25-50 mg every 24 hours|25-50 mg every 24 hours,Max 50 mg/day; motion sickness|Max 50 mg/day; antiemetic,https://www.amazon.in/s?k=Meclizine,https://www.1mg.com/search/all?name=Meclizine,https://www.apollopharmacy.in/search-result?searchText=Meclizine,https://www.1mg.com/search/all?name=Meclizine
Allopurinol,Gout,100-300 mg once daily,Max 800 mg/day; take with food; for uric acid control,https://www.amazon.in/s?k=Allopurinol,https://www.1mg.com/search/all?name=Allopurinol,https://www.apollopharmacy.in/search-result?searchText=Allopurinol,https://www.1mg.com/search/all?name=Allopurinol
Valacyclovir,Shingles (Herpes Zoster),1000 mg three times daily,7-day course; start within 72 hours of rash,https://www.amazon.in/s?k=Valacyclovir,https://www.1mg.com/search/all?name=Valacyclovir,https://www.apollopharmacy.in/search-result?searchText=Valacyclovir,https://www.1mg.com/search/all?name=Valacyclovir
Colchicine,Gout,"1.2 mg initially, then 0.6 mg after 1 hour",Max 1.8 mg/day; for acute gout attack,https://www.amazon.in/s?k=Colchicine,https://www.1mg.com/search/all?name=Colchicine,https://www.apollopharmacy.in/search-result?searchText=Colchicine,https://www.1mg.com/search/all?name=Colchicine
Ondansetron,Nausea (Chemo-related),8 mg every 8 hours,Prescription; max 24 mg/day; antiemetic,https://www.amazon.in/s?k=Ondansetron,https://www.1mg.com/search/all?name=Ondansetron,https://www.apollopharmacy.in/search-result?searchText=Ondansetron,https://www.1mg.com/search/all?name=Ondansetron
Sumatriptan,Migraine,50-100 mg at onset,Max 200 mg/day; migraine-specific,https://www.amazon.in/s?k=Sumatriptan,https://www.1mg.com/search/all?name=Sumatriptan,https://www.apollopharmacy.in/search-result?searchText=Sumatriptan,https://www.1mg.com/search/all?name=Sumatriptan
Levothyroxine,Hypothyroidism,25-200 mcg once daily,Adjust per doctor; take on empty stomach,https://www.amazon.in/s?k=Levothyroxine,https://www.1mg.com/search/all?name=Levothyroxine,https://www.apollopharmacy.in/search-result?searchText=Levothyroxine,https://www.1mg.com/search/all?name=Levothyroxine
Albuterol,Asthma|Wheezing,2 puffs every 4-6 hours,Max 12 puffs/day; rescue inhaler,https://www.amazon.in/s?k=Albuterol,https://www.1mg.com/search/all?name=Albuterol,https://www.apollopharmacy.in/search-result?searchText=Albuterol,https://www.1mg.com/search/all?name=Albuterol
Prednisone,Asthma (Severe)|Inflammation,5-60 mg once daily,Taper dose; prescription; short-term use,https://www.amazon.in/s?k=Prednisone,https://www.1mg.com/search/all?name=Prednisone,https://www.apollopharmacy.in/search-result?searchText=Prednisone,https://www.1mg.com/search/all?name=Prednisone
Methotrexate,Rheumatoid Arthritis,7.5-20 mg once weekly,Max 20 mg/week; prescription; monitor liver,https://www.amazon.in/s?k=Methotrexate,https://www.1mg.com/search/all?name=Methotrexate,https://www.apollopharmacy.in/search-result?searchText=Methotrexate,https://www.1mg.com/search/all?name=Methotrexate
Ranitidine,Heartburn (GERD),150 mg twice daily,Max 300 mg/day; take before meals,https://www.amazon.in/s?k=Ranitidine,https://www.1mg.com/search/all?name=Ranitidine,https://www.apollopharmacy.in/search-result?searchText=Ranitidine,https://www.1mg.com/search/all?name=Ranitidine
Loperamide,Diarrhea (Acute),"4 mg initially, then 2 mg",Max 16 mg/day; hydrate well,https://www.amazon.in/s?k=Loperamide,https://www.1mg.com/search/all?name=Loperamide,https://www.apollopharmacy.in/search-result?searchText=Loperamide,https://www.1mg.com/search/all?name=Loperamide
Metronidazole,Bacterial Vaginosis,500 mg twice daily,7-day course; prescription; avoid alcohol,https://www.amazon.in/s?k=Metronidazole,https://www.1mg.com/search/all?name=Metronidazole,https://www.apollopharmacy.in/search-result?searchText=Metronidazole,https://www.1mg.com/search/all?name=Metronidazole
Fluconazole,Yeast Infection,150 mg single dose,For uncomplicated cases; prescription,https://www.amazon.in/s?k=Fluconazole,https://www.1mg.com/search/all?name=Fluconazole,https://www.apollopharmacy.in/search-result?searchText=Fluconazole,https://www.1mg.com/search/all?name=Fluconazole
Oseltamivir,Influenza (Flu),75 mg twice daily,5-day course; start within 48 hours of symptoms,https://www.amazon.in/s?k=Oseltamivir,https://www.1mg.com/search/all?name=Oseltamivir,https://www.apollopharmacy.in/search-result?searchText=Oseltamivir,https://www.1mg.com/search/all?name=Oseltamivir
Promethazine,Nausea|Allergic Runny Nose,12.5-25 mg every 4-6 hours|12.5-25 mg every 4-6 hours,Max 100 mg/day; drowsy|Max 100 mg/day; antihistamine,https://www.amazon.in/s?k=Promethazine,https://www.1mg.com/search/all?name=Promethazine,https://www.apollopharmacy.in/search-result?searchText=Promethazine,https://www.1mg.com/search/all?name=Promethazine
Budesonide,Runny Nose (Allergic)|Asthma,1-2 sprays per nostril daily|1-2 puffs twice daily,Max 4 sprays/day; nasal steroid|Max 800 mcg/day; inhaled steroid,https://www.amazon.in/s?k=Budesonide,https://www.1mg.com/search/all?name=Budesonide,https://www.apollopharmacy.in/search-result?searchText=Budesonide,https://www.1mg.com/search/all?name=Budesonide
Famotidine,Heartburn (GERD),20 mg twice daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Famotidine,https://www.1mg.com/search/all?name=Famotidine,https://www.apollopharmacy.in/search-result?searchText=Famotidine,https://www.1mg.com/search/all?name=Famotidine
Simethicone,Gas Pain,80-160 mg after meals,Max 500 mg/day; for bloating relief,https://www.amazon.in/s?k=Simethicone,https://www.1mg.com/search/all?name=Simethicone,https://www.apollopharmacy.in/search-result?searchText=Simethicone,https://www.1mg.com/search/all?name=Simethicone
Dicyclomine,Irritable Bowel Syndrome (Cramps),20 mg four times daily,Max 80 mg/day; antispasmodic,https://www.amazon.in/s?k=Dicyclomine,https://www.1mg.com/search/all?name=Dicyclomine,https://www.apollopharmacy.in/search-result?searchText=Dicyclomine,https://www.1mg.com/search/all?name=Dicyclomine
Acyclovir,Cold Sores (Herpes),400 mg five times daily,5-day course; start at first sign,https://www.amazon.in/s?k=Acyclovir,https://www.1mg.com/search/all?name=Acyclovir,https://www.apollopharmacy.in/search-result?searchText=Acyclovir,https://www.1mg.com/search/all?name=Acyclovir
Baclofen,Muscle Spasms,5-20 mg three times daily,Max 80 mg/day; prescription; relaxant,https://www.amazon.in/s?k=Baclofen,https://www.1mg.com/search/all?name=Baclofen,https://www.apollopharmacy.in/search-result?searchText=Baclofen,https://www.1mg.com/search/all?name=Baclofen
Tizanidine,Muscle Spasms,2-4 mg three times daily,Max 36 mg/day; prescription; relaxant,https://www.amazon.in/s?k=Tizanidine,https://www.1mg.com/search/all?name=Tizanidine,https://www.apollopharmacy.in/search-result?searchText=Tizanidine,https://www.1mg.com/search/all?name=Tizanidine
Clonazepam,Seizures|Anxiety,0.5-2 mg twice daily,Max 20 mg/day; prescription; taper off,https://www.amazon.in/s?k=Clonazepam,https://www.1mg.com/search/all?name=Clonazepam,https://www.apollopharmacy.in/search-result?searchText=Clonazepam,https://www.1mg.com/search/all?name=Clonazepam
Lidocaine Patch,Shingles Pain,1-3 patches for 12 hours,Max 3 patches/day; topical relief,https://www.amazon.in/s?k=Lidocaine+Patch,https://www.1mg.com/search/all?name=Lidocaine%20Patch,https://www.apollopharmacy.in/search-result?searchText=Lidocaine%20Patch,https://www.1mg.com/search/all?name=Lidocaine+Patch
Omeprazole,Acid Reflux (GERD),20 mg once daily,Max 8 weeks; take before meals,https://www.amazon.in/s?k=Omeprazole,https://www.1mg.com/search/all?name=Omeprazole,https://www.apollopharmacy.in/search-result?searchText=Omeprazole,https://www.1mg.com/search/all?name=Omeprazole
Montelukast,Allergies|Asthma,10 mg once daily|10 mg once daily,Evening dose; for asthma/allergies|Evening dose; leukotriene inhibitor,https://www.amazon.in/s?k=Montelukast,https://www.1mg.com/search/all?name=Montelukast,https://www.apollopharmacy.in/search-result?searchText=Montelukast,https://www.1mg.com/search/all?name=Montelukast
Codeine,Common Cold (Dry Cough),10-20 mg every 4-6 hours,Prescription; max 120 mg/day; drowsy,https://www.amazon.in/s?k=Codeine,https://www.1mg.com/search/all?name=Codeine,https://www.apollopharmacy.in/search-result?searchText=Codeine,https://www.1mg.com/search/all?name=Codeine
Cyclobenzaprine,Muscle Spasms,5-10 mg three times daily,Max 30 mg/day; prescription; relaxant,https://www.amazon.in/s?k=Cyclobenzaprine,https://www.1mg.com/search/all?name=Cyclobenzaprine,https://www.apollopharmacy.in/search-result?searchText=Cyclobenzaprine,https://www.1mg.com/search/all?name=Cyclobenzaprine
Gabapentin,Neuropathic Pain,300-600 mg three times daily,Max 3600 mg/day; prescription; titrate dose,https://www.amazon.in/s?k=Gabapentin,https://www.1mg.com/search/all?name=Gabapentin,https://www.apollopharmacy.in/search-result?searchText=Gabapentin,https://www.1mg.com/search/all?name=Gabapentin
Melatonin,Insomnia,1-5 mg at bedtime,Adjust as needed; non-habit forming,https://www.amazon.in/s?k=Melatonin,https://www.1mg.com/search/all?name=Melatonin,https://www.apollopharmacy.in/search-result?searchText=Melatonin,https://www.1mg.com/search/all?name=Melatonin
Zolpidem,Insomnia,5-10 mg at bedtime,Prescription; max 10 mg/day,https://www.amazon.in/s?k=Zolpidem,https://www.1mg.com/search/all?name=Zolpidem,https://www.apollopharmacy.in/search-result?searchText=Zolpidem,https://www.1mg.com/search/all?name=Zolpidem
Propranolol,Migraine Prevention|Anxiety,20-40 mg twice daily|20-40 mg twice daily,Max 320 mg/day; prescription|Max 320 mg/day; beta-blocker,https://www.amazon.in/s?k=Propranolol,https://www.1mg.com/search/all?name=Propranolol,https://www.apollopharmacy.in/search-result?searchText=Propranolol,https://www.1mg.com/search/all?name=Propranolol
Hydroxyzine,Itching (Allergic)|Anxiety,25-50 mg every 6 hours|25-50 mg at bedtime,Max 200 mg/day; drowsy|Max 200 mg/day; sedative,https://www.amazon.in/s?k=Hydroxyzine,https://www.1mg.com/search/all?name=Hydroxyzine,https://www.apollopharmacy.in/search-result?searchText=Hydroxyzine,https://www.1mg.com/search/all?name=Hydroxyzine
Azithromycin,Sinusitis,"500 mg day 1, then 250 mg daily",5-day course; prescription; antibiotic,https://www.amazon.in/s?k=Azithromycin,https://www.1mg.com/search/all?name=Azithromycin,https://www.apollopharmacy.in/search-result?searchText=Azithromycin,https://www.1mg.com/search/all?name=Azithromycin
Amoxicillin,Sinusitis|Ear Infection,500 mg three times daily|500 mg three times daily,10-day course; bacterial infection|10-day course; prescription,https://www.amazon.in/s?k=Amoxicillin,https://www.1mg.com/search/all?name=Amoxicillin,https://www.apollopharmacy.in/search-result?searchText=Amoxicillin,https://www.1mg.com/search/all?name=Amoxicillin
Ipratropium,Runny Nose (Cold)|Asthma,2 sprays per nostril 2-3 times daily|2 puffs four times daily,Max 6 sprays/day; reduces runny nose|Max 8 puffs/day; bronchodilator,https://www.amazon.in/s?k=Ipratropium,https://www.1mg.com/search/all?name=Ipratropium,https://www.apollopharmacy.in/search-result?searchText=Ipratropium,https://www.1mg.com/search/all?name=Ipratropium
Levocetirizine,Runny Nose (Allergic)|Allergies,5 mg once daily|5 mg once daily,May cause mild drowsiness|Antihistamine,https://www.amazon.in/s?k=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine,https://www.apollopharmacy.in/search-result?searchText=Levocetirizine,https://www.1mg.com/search/all?name=Levocetirizine
Xylometazoline,Runny Nose|Nasal Congestion,2-3 drops per nostril every 8-12 hours|2-3 drops per nostril every 8-12 hours,Max 3 days; decongestant|Max 3 days; avoid overuse,https://www.amazon.in/s?k=Xylometazoline,https://www.1mg.com/search/all?name=Xylometazoline,https://www.apollopharmacy.in/search-result?searchText=Xylometazoline,https://www.1mg.com/search/all?name=Xylometazoline
Desloratadine,Runny Nose (Allergic)|Allergies,5 mg once daily|5 mg once daily,Non-drowsy; antihistamine|Non-drowsy,https://www.amazon.in/s?k=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine,https://www.apollopharmacy.in/search-result?searchText=Desloratadine,https://www.1mg.com/search/all?name=Desloratadine
Fexofenadine,Runny Nose (Allergic)|Allergies,180 mg once daily|180 mg once daily,Non-drowsy; avoid with juice|Non-drowsy,https://www.amazon.in/s?k=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine,https://www.apollopharmacy.in/search-result?searchText=Fexofenadine,https://www.1mg.com/search/all?name=Fexofenadine
Strepsils,Sore Throat (Cold),1 lozenge every 2-3 hours,Max 8/day; soothing effect,https://www.amazon.in/s?k=Strepsils,https://www.1mg.com/search/all?name=Strepsils,https://www.apollopharmacy.in/search-result?searchText=Strepsils,https://www.1mg.com/search/all?name=Strepsils
Flurbiprofen,Sore Throat (Cold),8.75 mg lozenge every 3-6 hours,Max 5/day; anti-inflammatory,https://www.amazon.in/s?k=Flurbiprofen,https://www.1mg.com/search/all?name=Flurbiprofen,https://www.apollopharmacy.in/search-result?searchText=Flurbiprofen,https://www.1mg.com/search/all?name=Flurbiprofen
Benzocaine,Sore Throat (Cold),1 lozenge every 2 hours,Max 10/day; numbs throat,https://www.amazon.in/s?k=Benzocaine,https://www.1mg.com/search/all?name=Benzocaine,https://www.apollopharmacy.in/search-result?searchText=Benzocaine,https://www.1mg.com/search/all?name=Benzocaine
Chlorhexidine,Sore Throat (Infection),10 mL rinse twice daily,Do not swallow; antimicrobial,https://www.amazon.in/s?k=Chlorhexidine,https://www.1mg.com/search/all?name=Chlorhexidine,https://www.apollopharmacy.in/search-result?searchText=Chlorhexidine,https://www.1mg.com/search/all?name=Chlorhexidine
Penicillin V,Sore Throat (Strep),500 mg twice daily,10-day course; prescription; strep throat,https://www.amazon.in/s?k=Penicillin+V,https://www.1mg.com/search/all?name=Penicillin%20V,https://www.apollopharmacy.in/search-result?searchText=Penicillin%20V,https://www.1mg.com/search/all?name=Penicillin+V
Racecadotril,Diarrhea (Viral),100 mg three times daily,Max 300 mg/day; reduces secretions,https://www.amazon.in/s?k=Racecadotril,https://www.1mg.com/search/all?name=Racecadotril,https://www.apollopharmacy.in/search-result?searchText=Racecadotril,https://www.1mg.com/search/all?name=Racecadotril
Bismuth Subsalicylate,Diarrhea (Traveler's),524 mg every 30-60 minutes,Max 8 doses/day; avoid in fever,https://www.amazon.in/s?k=Bismuth+Subsalicylate,https://www.1mg.com/search/all?name=Bismuth%20Subsalicylate,https://www.apollopharmacy.in/search-result?searchText=Bismuth%20Subsalicylate,https://www.1mg.com/search/all?name=Bismuth+Subsalicylate
Attapulgite,Diarrhea (Acute),600-1200 mg after each stool,Max 8400 mg/day; absorbent,https://www.amazon.in/s?k=Attapulgite,https://www.1mg.com/search/all?name=Attapulgite,https://www.apollopharmacy.in/search-result?searchText=Attapulgite,https://www.1mg.com/search/all?name=Attapulgite
Saccharomyces Boulardii,Diarrhea (Antibiotic-related),250-500 mg daily,Probiotic; supports gut health,https://www.amazon.in/s?k=Saccharomyces+Boulardii,https://www.1mg.com/search/all?name=Saccharomyces%20Boulardii,https://www.apollopharmacy.in/search-result?searchText=Saccharomyces%20Boulardii,https://www.1mg.com/search/all?name=Saccharomyces+Boulardii
Diphenoxylate,Diarrhea (Severe),2.5 mg up to 4 times daily,Prescription; max 20 mg/day,https://www.amazon.in/s?k=Diphenoxylate,https://www.1mg.com/search/all?name=Diphenoxylate,https://www.apollopharmacy.in/search-result?searchText=Diphenoxylate,https://www.1mg.com/search/all?name=Diphenoxylate
Metoclopramide,Nausea (Gastroparesis),10 mg up to 4 times daily,Max 40 mg/day; prokinetic,https://www.amazon.in/s?k=Metoclopramide,https://www.1mg.com/search/all?name=Metoclopramide,https://www.apollopharmacy.in/search-result?searchText=Metoclopramide,https://www.1mg.com/search/all?name=Metoclopramide
Prochlorperazine,Nausea (Severe),5-10 mg 3-4 times daily,Max 40 mg/day; prescription,https://www.amazon.in/s?k=Prochlorperazine,https://www.1mg.com/search/all?name=Prochlorperazine,https://www.apollopharmacy.in/search-result?searchText=Prochlorperazine,https://www.1mg.com/search/all?name=Prochlorperazine
Dimenhydrinate,Motion Sickness|Nausea,50-100 mg every 4-6 hours|50-100 mg every 4-6 hours,Max 400 mg/day; drowsy|Max 400 mg/day,https://www.amazon.in/s?k=Dimenhydrinate,https://www.1mg.com/search/all?name=Dimenhydrinate,https://www.apollopharmacy.in/search-result?searchText=Dimenhydrinate,https://www.1mg.com/search/all?name=Dimenhydrinate
Esomeprazole,Acid Reflux (GERD),20-40 mg once daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Esomeprazole,https://www.1mg.com/search/all?name=Esomeprazole,https://www.apollopharmacy.in/search-result?searchText=Esomeprazole,https://www.1mg.com/search/all?name=Esomeprazole
Pantoprazole,Acid Reflux (GERD),40 mg once daily,Max 40 mg/day; take before meals,https://www.amazon.in/s?k=Pantoprazole,https://www.1mg.com/search/all?name=Pantoprazole,https://www.apollopharmacy.in/search-result?searchText=Pantoprazole,https://www.1mg.com/search/all?name=Pantoprazole
Lansoprazole,Acid Reflux (GERD),15-30 mg once daily,Max 30 mg/day; for acid reflux,https://www.amazon.in/s?k=Lansoprazole,https://www.1mg.com/search/all?name=Lansoprazole,https://www.apollopharmacy.in/search-result?searchText=Lansoprazole,https://www.1mg.com/search/all?name=Lansoprazole
Alginic Acid,Heartburn (Reflux),10-20 mL after meals,Max 80 mL/day; barrier for reflux,https://www.amazon.in/s?k=Alginic+Acid,https://www.1mg.com/search/all?name=Alginic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Alginic%20Acid,https://www.1mg.com/search/all?name=Alginic+Acid
Cimetidine,Heartburn (GERD),400 mg twice daily,Max 800 mg/day; take with meals,https://www.amazon.in/s?k=Cimetidine,https://www.1mg.com/search/all?name=Cimetidine,https://www.apollopharmacy.in/search-result?searchText=Cimetidine,https://www.1mg.com/search/all?name=Cimetidine
Tamsulosin,Urinary Retention (BPH),0.4 mg once daily,Max 0.8 mg/day; prescription; after meal,https://www.amazon.in/s?k=Tamsulosin,https://www.1mg.com/search/all?name=Tamsulosin,https://www.apollopharmacy.in/search-result?searchText=Tamsulosin,https://www.1mg.com/search/all?name=Tamsulosin
Finasteride,Hair Loss|Prostate Enlargement,1 mg daily|5 mg daily,Max 5 mg/day; prescription|Max 5 mg/day,https://www.amazon.in/s?k=Finasteride,https://www.1mg.com/search/all?name=Finasteride,https://www.apollopharmacy.in/search-result?searchText=Finasteride,https://www.1mg.com/search/all?name=Finasteride
Terbinafine,Fungal Infection (Nail),250 mg once daily,6-12 weeks; prescription; systemic,https://www.amazon.in/s?k=Terbinafine,https://www.1mg.com/search/all?name=Terbinafine,https://www.apollopharmacy.in/search-result?searchText=Terbinafine,https://www.1mg.com/search/all?name=Terbinafine
Clotrimazole,Athlete's Foot,Apply twice daily,2-4 weeks; topical antifungal,https://www.amazon.in/s?k=Clotrimazole,https://www.1mg.com/search/all?name=Clotrimazole,https://www.apollopharmacy.in/search-result?searchText=Clotrimazole,https://www.1mg.com/search/all?name=Clotrimazole
Mupirocin,Impetigo,Apply three times daily,10-day course; prescription; topical,https://www.amazon.in/s?k=Mupirocin,https://www.1mg.com/search/all?name=Mupirocin,https://www.apollopharmacy.in/search-result?searchText=Mupirocin,https://www.1mg.com/search/all?name=Mupirocin
Erythromycin,Acne,250-500 mg twice daily,Prescription; systemic antibiotic,https://www.amazon.in/s?k=Erythromycin,https://www.1mg.com/search/all?name=Erythromycin,https://www.apollopharmacy.in/search-result?searchText=Erythromycin,https://www.1mg.com/search/all?name=Erythromycin
Benzoyl Peroxide,Acne,2.5-10% apply once daily,Topical; may bleach fabrics,https://www.amazon.in/s?k=Benzoyl+Peroxide,https://www.1mg.com/search/all?name=Benzoyl%20Peroxide,https://www.apollopharmacy.in/search-result?searchText=Benzoyl%20Peroxide,https://www.1mg.com/search/all?name=Benzoyl+Peroxide
Salicylic Acid,Warts,17% apply daily,Topical; up to 12 weeks,https://www.amazon.in/s?k=Salicylic+Acid,https://www.1mg.com/search/all?name=Salicylic%20Acid,https://www.apollopharmacy.in/search-result?searchText=Salicylic%20Acid,https://www.1mg.com/search/all?name=Salicylic+Acid
Permethrin,Scabies,"5% cream, apply once",Single application; repeat in 7 days if needed,https://www.amazon.in/s?k=Permethrin,https://www.1mg.com/search/all?name=Permethrin,https://www.apollopharmacy.in/search-result?searchText=Permethrin,https://www.1mg.com/search/all?name=Permethrin
Ivermectin,Scabies (Severe),200 mcg/kg single dose,Prescription; may repeat in 7-14 days,https://www.amazon.in/s?k=Ivermectin,https://www.1mg.com/search/all?name=Ivermectin,https://www.apollopharmacy.in/search-result?searchText=Ivermectin,https://www.1mg.com/search/all?name=Ivermectin
Hydrocortisone,Eczema|Itching,1% cream twice daily|1% cream twice daily,Max 7 days; topical steroid|Avoid long-term use,https://www.amazon.in/s?k=Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone,https://www.apollopharmacy.in/search-result?searchText=Hydrocortisone,https://www.1mg.com/search/all?name=Hydrocortisone
Ketorolac,Eye Pain (Post-surgery),1 drop four times daily,Max 5 days; prescription; NSAID drop,https://www.amazon.in/s?k=Ketorolac,https://www.1mg.com/search/all?name=Ketorolac,https://www.apollopharmacy.in/search-result?searchText=Ketorolac,https://www.1mg.com/search/all?name=Ketorolac
Latamoprost,Glaucoma,1 drop in affected eye(s) daily,Evening dose; prescription; lowers eye pressure,https://www.amazon.in/s?k=Latamoprost,https://www.1mg.com/search/all?name=Latamoprost,https://www.apollopharmacy.in/search-result?searchText=Latamoprost,https://www.1mg.com/search/all?name=Latamoprost
Rifaximin,Traveler's Diarrhea,200-400 mg three times daily,Prescription; 3-day course,https://www.amazon.in/s?k=Rifaximin,https://www.1mg.com/search/all?name=Rifaximin,https://www.apollopharmacy.in/search-result?searchText=Rifaximin,https://www.1mg.com/search/all?name=Rifaximin
Trimebutine,Irritable Bowel Syndrome,100-200 mg three times daily,Max 600 mg/day; regulates motility,https://www.amazon.in/s?k=Trimebutine,https://www.1mg.com/search/all?name=Trimebutine,https://www.apollopharmacy.in/search-result?searchText=Trimebutine,https://www.1mg.com/search/all?name=Trimebutine
Peppermint Oil,Irritable Bowel Syndrome,0.2-0.4 mL three times daily,Max 1.2 mL/day; for IBS,https://www.amazon.in/s?k=Peppermint+Oil,https://www.1mg.com/search/all?name=Peppermint%20Oil,https://www.apollopharmacy.in/search-result?searchText=Peppermint%20Oil,https://www.1mg.com/search/all?name=Peppermint+Oil
Hyoscine,Abdominal Cramps,10-20 mg up to 4 times daily,Max 80 mg/day; antispasmodic,https://www.amazon.in/s?k=Hyoscine,https://www.1mg.com/search/all?name=Hyoscine,https://www.apollopharmacy.in/search-result?searchText=Hyoscine,https://www.1mg.com/search/all?name=Hyoscine
EpiPen (Epinephrine),Anaphylaxis,0.3 mg intramuscular,Single use; seek emergency care,https://www.amazon.in/s?k=EpiPen+(Epinephrine),https://www.1mg.com/search/all?name=EpiPen%20(Epinephrine),https://www.apollopharmacy.in/search-result?searchText=EpiPen%20(Epinephrine),https://www.1mg.com/search/all?name=EpiPen+(Epinephrine)
